,video_id,channel_id
0,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
2,aBr2kKAHN6M,UCtI0Hodo5o5dUb67FeUjDeA
4,B7J47qFvdsk,UCRxDTCmIjgli-Xgh2KPE9dA
9,FVPmVIfl3-o,UC-km1012mEUQQLGxggmrazw
10,CcWHJuzPUKY,UC72bkkvKulLl_muXs0ygF_Q
13,TC-ipmLi9PA,UChFqyZDekCMt_z7sVO3JjBQ
15,cXopRwPxg2M,UCVMvBhhCs_jZTGlHFI6Fh7w
16,bFrhcY9exgo,UCFDEkoNJ4e1VH6A6SUk9N4g
18,ylojY8-BfWU,UC1Lp8HbCqOPBMT1W_mjb21A
23,0aH2JyPKkcQ,UCHbL59OvxcJwsl5bCIGpkmw
25,pVxOVlm_lE8,UCvC4D8onUfXzvjTOM-dBfEA
27,6sexVZpv5RI,UCbJoWdIyULC-VuJebfKhPLQ
28,vmd4px8348Y,UC3oHasOAxRUwX0HpEhnWsQg
30,9D2iNVZ9kJk,UC3uAIK-2HyXEeotd7PNZbfg
32,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
34,aBr2kKAHN6M,UCtI0Hodo5o5dUb67FeUjDeA
35,B7J47qFvdsk,UCRxDTCmIjgli-Xgh2KPE9dA
41,FVPmVIfl3-o,UC-km1012mEUQQLGxggmrazw
42,CcWHJuzPUKY,UC72bkkvKulLl_muXs0ygF_Q
45,TC-ipmLi9PA,UChFqyZDekCMt_z7sVO3JjBQ
47,cXopRwPxg2M,UCVMvBhhCs_jZTGlHFI6Fh7w
48,bFrhcY9exgo,UCFDEkoNJ4e1VH6A6SUk9N4g
50,ylojY8-BfWU,UC1Lp8HbCqOPBMT1W_mjb21A
55,0aH2JyPKkcQ,UCHbL59OvxcJwsl5bCIGpkmw
57,pVxOVlm_lE8,UCvC4D8onUfXzvjTOM-dBfEA
59,6sexVZpv5RI,UCbJoWdIyULC-VuJebfKhPLQ
60,vmd4px8348Y,UC3oHasOAxRUwX0HpEhnWsQg
62,9D2iNVZ9kJk,UC3uAIK-2HyXEeotd7PNZbfg
64,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
66,aBr2kKAHN6M,UCtI0Hodo5o5dUb67FeUjDeA
67,B7J47qFvdsk,UCRxDTCmIjgli-Xgh2KPE9dA
73,FVPmVIfl3-o,UC-km1012mEUQQLGxggmrazw
74,CcWHJuzPUKY,UC72bkkvKulLl_muXs0ygF_Q
77,TC-ipmLi9PA,UChFqyZDekCMt_z7sVO3JjBQ
79,cXopRwPxg2M,UCVMvBhhCs_jZTGlHFI6Fh7w
80,bFrhcY9exgo,UCFDEkoNJ4e1VH6A6SUk9N4g
82,ylojY8-BfWU,UC1Lp8HbCqOPBMT1W_mjb21A
87,0aH2JyPKkcQ,UCHbL59OvxcJwsl5bCIGpkmw
89,pVxOVlm_lE8,UCvC4D8onUfXzvjTOM-dBfEA
91,6sexVZpv5RI,UCbJoWdIyULC-VuJebfKhPLQ
92,vmd4px8348Y,UC3oHasOAxRUwX0HpEhnWsQg
94,9D2iNVZ9kJk,UC3uAIK-2HyXEeotd7PNZbfg
96,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
98,aBr2kKAHN6M,UCtI0Hodo5o5dUb67FeUjDeA
99,B7J47qFvdsk,UCRxDTCmIjgli-Xgh2KPE9dA
105,FVPmVIfl3-o,UC-km1012mEUQQLGxggmrazw
106,CcWHJuzPUKY,UC72bkkvKulLl_muXs0ygF_Q
