,video_id,channel_id
0,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
1,ohObafdd34Y,No Data
2,aBr2kKAHN6M,UCtI0Hodo5o5dUb67FeUjDeA
3,5wNnwChvmsQ,No Data
4,B7J47qFvdsk,UCRxDTCmIjgli-Xgh2KPE9dA
5,OIDfjdGERr8,No Data
6,KqtWo-4A0LU,No Data
7,MPQaySneSUc,No Data
8,zIhc0rXajCk,No Data
9,FVPmVIfl3-o,UC-km1012mEUQQLGxggmrazw
10,CcWHJuzPUKY,UC72bkkvKulLl_muXs0ygF_Q
11,nvSvrGUaRL0,No Data
12,GbHQfKUVEqk,No Data
13,TC-ipmLi9PA,UChFqyZDekCMt_z7sVO3JjBQ
14,UQVs2qDBe10,No Data
15,cXopRwPxg2M,UCVMvBhhCs_jZTGlHFI6Fh7w
16,bFrhcY9exgo,UCFDEkoNJ4e1VH6A6SUk9N4g
17,bvgF6esNfeQ,No Data
18,ylojY8-BfWU,UC1Lp8HbCqOPBMT1W_mjb21A
19,zr99xwEg6Pg,No Data
20,u1LbK98Yphs,No Data
21,29Gd024WhDA,No Data
22,iP3symHIsUs,No Data
23,0aH2JyPKkcQ,UCHbL59OvxcJwsl5bCIGpkmw
24,B_v4nRnOs4A,No Data
25,pVxOVlm_lE8,UCvC4D8onUfXzvjTOM-dBfEA
26,_C1pZ0KL0MM,No Data
27,6sexVZpv5RI,UCbJoWdIyULC-VuJebfKhPLQ
28,vmd4px8348Y,UC3oHasOAxRUwX0HpEhnWsQg
29,kKt7R582Umk,No Data
0,9D2iNVZ9kJk,UC3uAIK-2HyXEeotd7PNZbfg
1,pw4BYR6njRI,No Data
2,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
3,ohObafdd34Y,No Data
4,aBr2kKAHN6M,UCtI0Hodo5o5dUb67FeUjDeA
5,B7J47qFvdsk,UCRxDTCmIjgli-Xgh2KPE9dA
6,5wNnwChvmsQ,No Data
7,OIDfjdGERr8,No Data
8,KqtWo-4A0LU,No Data
9,MPQaySneSUc,No Data
10,zIhc0rXajCk,No Data
11,FVPmVIfl3-o,UC-km1012mEUQQLGxggmrazw
12,CcWHJuzPUKY,UC72bkkvKulLl_muXs0ygF_Q
